pl_name,ra,dec,pl_bmasse
OGLE-TR-10 b,267.8677483,-29.8764758,197.046
BD-08 2823 b,150.1971964,-9.5165689,14.4
BD-08 2823 c,150.1971964,-9.5165689,104.0
HD 104985 b,181.3157854,76.9053359,2000.0
bet Pic b,86.8212337,-51.066148,
bet Pic b,86.8212337,-51.066148,2224.81
4 UMa b,130.0528099,64.3280504,2256.5
HD 104985 b,181.3157854,76.9053359,2637.9
kap CrB b,237.8080012,35.6558818,635.66
kap CrB b,237.8080012,35.6558818,591.1638
kap CrB b,237.8080012,35.6558818,689.6911
14 And b,352.82415,39.2358367,1017.0
18 Del b,314.6078375,10.8391378,3127.3
81 Cet b,39.4243555,-3.3963607,1274.4
HD 81688 b,142.1665753,45.6009241,562.5
xi Aql b,298.5624491,8.4611051,642.0
HD 180314 b,288.7094401,31.8604391,6451.7
HD 208897 b,329.7490639,19.0201591,444.962
HD 147379 b,244.1725686,67.2392041,24.7
HD 47366 c,99.4200181,-12.9856593,591.1638
6 Lyn b,97.6960311,58.1611753,762.8
81 Cet b,39.4243555,-3.3963607,1684.4
gam Lib b,233.8818636,-14.789502,324.1866
gam Lib c,233.8818636,-14.789502,1455.6614
HD 110014 b,189.8111935,-7.9956702,3524.59
KOI-13 b,286.9713876,46.8682463,
Kepler-44 b,300.1023512,45.7621918,324.17
GJ 667 C b,259.7510609,-34.9977651,5.68
GJ 667 C c,259.7510609,-34.9977651,4.54
KOI-13 b,286.9713876,46.8682463,
WASP-62 b,87.1398205,-63.9883286,181.155
KOI-13 b,286.9713876,46.8682463,2923.9
KOI-13 b,286.9713876,46.8682463,
GJ 667 C f,259.7510609,-34.9977651,2.7
GJ 667 C g,259.7510609,-34.9977651,4.6
GJ 667 C b,259.7510609,-34.9977651,5.6
GJ 667 C c,259.7510609,-34.9977651,3.8
HAT-P-7 b,292.24719,47.9695429,564.442
HAT-P-7 b,292.24719,47.9695429,564.442
WASP-74 b,304.538843,-1.0760033,301.9385
HAT-P-7 b,292.24719,47.9695429,566.05523
KOI-13 b,286.9713876,46.8682463,2949.4624
Kepler-44 b,300.1023512,45.7621918,327.3649
HAT-P-7 b,292.24719,47.9695429,
GJ 667 C b,259.7510609,-34.9977651,5.661
GJ 667 C c,259.7510609,-34.9977651,3.709
GJ 667 C b,259.7510609,-34.9977651,5.6
GJ 667 C c,259.7510609,-34.9977651,4.1
KOI-13 b,286.9713876,46.8682463,2637.88
KOI-13 b,286.9713876,46.8682463,
HAT-P-7 b,292.24719,47.9695429,
Kepler-44 b,300.1023512,45.7621918,
KOI-13 b,286.9713876,46.8682463,
KELT-7 b,78.2955912,33.3179532,441.7837
HATS-61 b,61.6578005,-25.3496674,1080.622
HATS-63 b,67.418582,-28.1972149,305.1168
WASP-62 b,87.1398205,-63.9883286,180.52744
WASP-74 b,304.538843,-1.0760033,262.52758
Kepler-44 b,300.1023512,45.7621918,
HAT-P-7 b,292.24719,47.9695429,574.00098
HAT-P-7 b,292.24719,47.9695429,
Kepler-44 b,300.1023512,45.7621918,
KOI-13 b,286.9713876,46.8682463,
Kepler-44 b,300.1023512,45.7621918,
KOI-13 b,286.9713876,46.8682463,
HAT-P-7 b,292.24719,47.9695429,
KOI-13 b,286.9713876,46.8682463,
HAT-P-7 b,292.24719,47.9695429,
HD 108236 e,186.5740627,-51.3630519,
HD 108236 c,186.5740627,-51.3630519,
HD 108236 c,186.5740627,-51.3630519,
WASP-74 b,304.538843,-1.0760033,
WASP-76 b,26.632936,2.700389,
WASP-62 b,87.1398205,-63.9883286,
HATS-60 b,341.3640336,-14.9917747,
WASP-62 b,87.1398205,-63.9883286,
HATS-68 b,15.006077,-58.9047242,
WASP-76 b,26.632936,2.700389,
HAT-P-7 b,292.24719,47.9695429,
KELT-7 b,78.2955912,33.3179532,
HATS-66 b,101.3948048,-33.8816918,
HATS-63 b,67.418582,-28.1972149,
HATS-67 b,180.2087883,-46.1364201,
HATS-61 b,61.6578005,-25.3496674,
HATS-67 b,180.2087883,-46.1364201,
HATS-68 b,15.006077,-58.9047242,
WASP-76 b,26.632936,2.700389,
HAT-P-7 b,292.24719,47.9695429,
HATS-64 b,144.2876092,-29.800444,
HATS-65 b,292.9397825,-26.7402021,
51 Eri b,69.4007424,-2.4738245,
HATS-67 b,180.2087883,-46.1364201,
HD 108236 b,186.5740627,-51.3630519,
HD 108236 c,186.5740627,-51.3630519,
HD 108236 d,186.5740627,-51.3630519,
HD 108236 e,186.5740627,-51.3630519,
KELT-7 b,78.2955912,33.3179532,
KOI-13 b,286.9713876,46.8682463,
WASP-62 b,87.1398205,-63.9883286,
WASP-74 b,304.538843,-1.0760033,
WASP-76 b,26.632936,2.700389,
TOI-1224 b,37.1978356,-80.8991053,
TOI-1224 c,37.1978356,-80.8991053,
KELT-7 b,78.2955912,33.3179532,
TOI-1224 b,37.1978356,-80.8991053,
TOI-1224 c,37.1978356,-80.8991053,
KELT-7 b,78.2955912,33.3179532,
WASP-62 b,87.1398205,-63.9883286,
WASP-74 b,304.538843,-1.0760033,
WASP-76 b,26.632936,2.700389,289.22385
WASP-76 b,26.632936,2.700389,
HD 48948 b,102.489811,60.3373133,4.88
HD 48948 c,102.489811,60.3373133,7.27
HD 48948 d,102.489811,60.3373133,10.59
WASP-76 b,26.632936,2.700389,284.1386
OGLE-2014-BLG-0221L b,270.30375,-27.4267639,1382.55357
OGLE-2014-BLG-0221L b,270.30375,-27.4267639,22934.49785
OGLE-2014-BLG-0221L b,270.30375,-27.4267639,15452.81715
GQ Lup b,237.3003643,-35.6515055,9852.73
bet Pic b,86.8212337,-51.066148,
PDS 70 b,212.0421402,-41.3980405,2542.64
PDS 70 b,212.0421402,-41.3980405,
51 Eri b,69.4007424,-2.4738245,
PDS 70 b,212.0421402,-41.3980405,953.49
bet Pic b,86.8212337,-51.066148,2542.533
bet Pic b,86.8212337,-51.066148,3727.80939
51 Eri b,69.4007424,-2.4738245,635.66
VHS J125601.92-125723.9 b,194.008964,-12.956031,13762.039
VHS J125601.92-125723.9 b,194.008964,-12.956031,3813.94088
VHS J125601.92-125723.9 b,194.008964,-12.956031,3559.696
bet Pic b,86.8212337,-51.066148,3496.13
bet Pic b,86.8212337,-51.066148,
VHS J125601.92-125723.9 b,194.008964,-12.956031,5085.25451
VHS J125601.92-125723.9 b,194.008964,-12.956031,13603.124
2MASS J12073346-3932539 b,181.8890906,-39.5484399,1271.0
GQ Lup b,237.3003643,-35.6515055,6356.0
